params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,no_run,mu_fur
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.2138962362441589,7.6095702522759e-20,0.4446651717840487,4.636351161180618e-87,0.6904130506186726,0.4870339642744657,0.0926514234755479,0.3653790305832958,0.6062992125984252,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.552160759855586,0.0,0.5977014170847134,0.0,0.0404678995466034,0.0330925747225535,0.2398270988818866,0.4249492041577737,0.121574230419535,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.2688498755820756,9.891842075882692e-45,0.4506492962430776,1.3843707665070549e-131,0.7627115542443853,0.5055747407651313,0.0724220703103863,0.3131437535941759,0.7145032356299962,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.6400230022905488,0.0,0.4237121692401796,4.6551058e-316,0.1326314250921528,0.097883034937783,0.2710015368620598,0.4594074149103396,0.0,0.0958641468090934,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,-0.0046063971158271,0.8225790144222987,0.1882277475579671,2.3477372053195902e-20,0.7176457630691399,0.3664976900021079,0.0718146874107117,0.2365604895640809,1.0,0.454468802698145,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5497904243630112,0.0,0.5047438588529347,0.0,0.1827730511680471,0.090948335020351,0.2513251557453704,0.4136360826423759,0.1638804457953394,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,0.1258833272897189,2.080402250810649e-11,0.2893485023180124,2.204544056255705e-55,0.7640749715606115,0.438628498602915,0.0514121604054984,0.2267841027845361,1.0,0.6672591539281906,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6297315723974924,0.0,0.4243883225473368,2.67e-322,0.079958066165072,0.075222749727642,0.2653563287958363,0.4596829897818892,0.0,0.0979652337959843,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0943845885426159,1.5521142594359762e-06,0.2300801027071853,2.29128414046821e-32,0.734956064291247,0.403550582503873,0.0613044633598858,0.2295070967714949,1.0,0.5646785437645236,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5535612271223024,0.0,0.5074458381701824,0.0,0.1141886327719365,0.0657713328311373,0.2495647518340915,0.4171608410825403,0.1437707853671015,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.2849323671139121,4.346064369919346e-42,0.4457273943629438,3.898701357866193e-107,0.7314867899313501,0.4970230433318077,0.0807323618078714,0.3398312748064531,0.6672768878718536,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.6320376571331114,0.0,0.5306414947085972,0.0,0.0731631827997295,0.0683765898831214,0.2571954438665434,0.459785550293968,0.0,0.0977819853935623,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.6187072384009126,0.0,0.5311669562422204,0.0,0.0220767624929189,0.0464611487034393,0.2518380414982514,0.460051761263104,0.0,0.0998269665912418,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.5513631175305405,0.0,0.5935424258210255,0.0,0.1108411520665038,0.0589825776052205,0.2417121041813246,0.4212923975532467,0.1422142214221422,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2429665993675051,3.4231012746180064e-31,0.4616822214591091,1.2815327593470991e-117,0.7355400995495496,0.499142289545045,0.0804445040967162,0.3287122619895946,0.6743243243243243,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.6301598329458961,0.0,0.478986534045354,0.0,0.0765668162424704,0.071805908290559,0.2612833228446253,0.4597341765808302,0.0,0.0978737765777927,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,0.0840287822823659,1.3619241674354003e-09,0.2367273597755683,5.772984892317438e-67,0.7428348399228544,0.405630566490839,0.0607457754597637,0.2312565404780906,1.0,0.5699132111861138,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.5519307390039164,0.0,0.5515460835216313,0.0,0.1125192927625649,0.0623858791990786,0.2456487505006149,0.4192211882882269,0.1429945495351074,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.2635291133567072,6.931910626248051e-71,0.4532171555342951,3.921422888717495e-222,0.7335295475595913,0.49809108569126,0.080587289363203,0.3342275952483541,0.6708286038592508,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.0732772157102087,0.0001826997534389,0.2447242134436479,8.355444156292917e-37,0.7506500526315789,0.4076937699692662,0.060191594838129,0.2329918703476373,1.0,0.5751056473300038,1.0,0.0
