params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,no_run,st_prop,number_of_notes
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.5001919423858212,0.0,0.5229936304710704,0.0,-0.0187462693101473,0.0291042576684598,0.2490023472594583,0.4390174814722188,0.0536680697534576,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.6783859711169438,0.0,0.4501013155377588,0.0,0.1521705927513516,0.0867332854363823,0.2621951049706107,0.4618121142120275,0.0,0.1120150187734668,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.1324815378840869,4.5778261511183125e-19,0.2002565442829018,6.500321413741604e-42,0.7597405533570476,0.4113815165927079,0.1048429189441191,0.2213698912071142,1.0,0.5847043130280124,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5837213402990254,0.0,0.5263839860566029,0.0,0.2103209812655695,0.0870743132065932,0.2457001964984703,0.4037620475894343,0.2084123619323887,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.2270346602402677,1.9288802023829628e-42,0.375531149569093,1.8237291896216842e-118,0.7795883943262412,0.5001265086524822,0.1033507735915001,0.302604632811234,0.7460992907801418,1.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6460872955105886,0.0,0.4863340722371366,0.0,0.083146808991635,0.0591607196874545,0.2774209848746382,0.4612551054470308,0.0,0.0852765726681128,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.097903191835096,4.965269968044622e-07,0.2969568757919908,1.2489438416048919e-54,0.7399017468595356,0.4028452431610201,0.1178936673013856,0.2290358329874761,1.0,0.5607156452226875,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5771710959076687,0.0,0.536201630015098,0.0,0.1257197618177825,0.0575181439259163,0.2630292675234212,0.42044524020748,0.1460574610808758,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.2865907270877405,1.0106460847128329e-17,0.4153414051788143,3.4264010947347014e-37,0.5552094953488372,0.4804384915232558,0.1255237232029872,0.469862951705814,0.377906976744186,1.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.2573174763837435,3.872642161444327e-33,0.4898476289066735,2.715923355579306e-127,0.7439109961941008,0.494858737887726,0.1321453880749381,0.324432420626118,0.7007611798287345,1.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.096877344645974,9.386419785668822e-07,0.0291607297062614,0.1407504232325817,0.7457529753231492,0.4100942372518605,0.0800582844054892,0.2287257269962789,1.0,0.5804935370152762,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.5501774389019739,0.0,0.5144855949111953,0.0,0.0994419151555483,0.067357756821704,0.2307985782321955,0.4170761830980036,0.1388384754990925,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2686074860932847,5.0085006837295866e-39,0.3561765455412982,2.9857458609680097e-69,0.7279142978537013,0.4975602184275076,0.0851915344420004,0.3455131497899694,0.6491458607095927,1.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.6321992990291111,0.0,0.4642925128007691,0.0,0.0768088254137786,0.070507867442867,0.2575398711175681,0.4604867121554858,0.0,0.0964912280701754,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,all,publishable,0.0976404172875151,1.8877509161745104e-12,0.175023919266862,6.557302133139921e-37,0.7427855666023165,0.40641796167722,0.0992462285884081,0.2288829950346718,1.0,0.5704633204633205,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,all,unpublished,0.5633270021896475,0.0,0.5244730390103254,0.0,0.1127381858233877,0.0623790324227531,0.2471069148373811,0.4187808850014281,0.1424911943643932,0.0,1.0,0.0,
