params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.134372379161862,3.61028916808126e-19,0.2233294732424648,7.975506595798318e-51,0.7630319110757334,0.4089947121596543,0.100730885097919,0.2279323507980896,1.0,0.5808505799408687,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.1378726984154628,1.7948817315355113e-05,0.3880770652595936,6.727912998064217e-36,0.5731692226847034,0.4747708330280957,0.1286671778836004,0.4659733307346513,0.3860561914672216,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.6623526151344944,0.0,0.4671114490329713,0.0,0.1341445930426374,0.0835828848163328,0.2644122673467009,0.4588612245280635,0.0,0.1048915784165405,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5771135284044532,0.0,0.5329874910079303,0.0,0.2005587951486302,0.0865477891232418,0.2459774272351454,0.4060468490865145,0.2060829699206083,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.224296260890232,7.1353731685044716e-40,0.4051303173628438,6.126154396479591e-134,0.7753954282339044,0.4983261410513881,0.1005480432976007,0.2984727726033963,0.7542823390431187,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6362148906842581,0.0,0.4945933292756995,0.0,0.072904408565394,0.0577976115562203,0.279552152652759,0.4608937607862228,0.0,0.0809782608695652,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0979081562557016,4.5778883103859523e-07,0.3448487904435556,1.1078721029694573e-74,0.7418419867574726,0.3959340693314415,0.1136245624843435,0.2314478666851304,1.0,0.547105561861521,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5635465738191232,0.0,0.543681653951413,0.0,0.1224365073535108,0.0587636455843213,0.2629872566117142,0.4206697994712096,0.1503579952267303,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.2383039928048662,9.281290628959046e-28,0.5055021253749854,6.690362685316256e-133,0.7456159564152792,0.4916879450538687,0.1293692518533643,0.3207358067801665,0.7081292850146915,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,-0.1918748281479072,2.04343561240526e-08,0.2599263089661571,1.8787075865087156e-14,0.6614865921521998,0.3598706035434006,0.0623070316250535,0.265118995627824,1.0,0.441141498216409,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.5003698360687588,0.0,0.5477854027549163,0.0,0.0023895945779433,0.0369500293431654,0.2495068429276689,0.435219200919836,0.0700447093889716,0.0,1.0,0.0
