params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,number_of_notes,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,-0.0180356067415829,0.6812815254416902,0.0604817143875497,0.168059112857625,0.748949253358925,0.2043150289078694,0.5034993624184261,0.3149590772552783,521,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,-0.1136696020254588,0.1435640402674015,-0.0609059221140658,0.4342777369925399,0.7010320179640718,0.3806417102994012,0.0229621870523652,0.3060473844311377,167,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.1471515667618428,2.042563118219188e-39,0.0276793936834819,0.0139735424378719,-0.0610997307202663,0.1141292451314914,0.30135557440898,1.0279147783441978,7885,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.2084394821321473,1.3109971911921928e-15,0.1141491145497701,1.401652944250437e-05,0.5120140434975711,0.4450702730742539,0.0758879742789674,1.0915198578764749,1441,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.223575718134224,3.9829819195843144e-111,0.146168198684231,7.103406039105841e-48,0.4145349532797588,0.2023172209719658,0.3771921887455774,1.0820773825369363,9787,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.0199896370566177,0.5521361873803823,0.008990339560647,0.7891742712793373,0.7665517903043968,0.2471416592874858,0.3172847413614655,0.31526601735062,887,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.1598292931611545,6.086190790803348e-60,0.1387358043309285,1.822827939739857e-45,0.4292587967351314,0.1976530829446618,0.3844672326247554,1.025972274516251,10307,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.1143264202550755,0.0285320300949777,0.2524252645179075,9.640774777034132e-07,0.8518109204359673,0.4416429632970027,0.0280865127445008,0.8044579477929155,367,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.2426658559034206,7.157158860816658e-123,-0.0156222333814167,0.1349205694515226,0.0151728914674855,0.1613372852649645,0.270958465980244,1.0510839861604977,9159,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,-0.0290270691258433,0.0048921887642822,0.1763105691930821,1.753372625790443e-66,0.2250536596423326,0.1754762831541847,0.4177113028970629,1.066194450253166,9397,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,-0.0655148108781518,0.5025700315548465,0.2475145198589841,0.0101591602993444,-0.1418963170093458,0.4535360752336448,0.2575496173934579,1.0079356448598131,107,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.3532482092610109,1.122099021300364e-278,0.0029805198475653,0.7708862088960571,0.2179487758970259,0.1894246732217578,0.2354231257558195,1.0679799270189547,9549,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,-0.0981034654099665,0.0235100371584612,-0.0035381103619574,0.9350506048921594,0.7632293133208256,0.3308324340469044,0.0430451838749812,0.3126776572983114,533,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.2864581967836294,4.972256755486525e-158,0.0679851605751214,4.659221618757156e-10,0.1697153483642405,0.1467902423292645,0.2599801931506457,1.02667109490562,8381,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.1961963272377151,3.2065394481937844e-16,0.2555019045965419,9.317187612721823e-27,0.6264607586125808,0.4437982780599647,0.0541472733992498,1.0348424856202234,1701,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.1929227101221318,2.8123807276158123e-158,0.0628321640360781,4.865441873904693e-18,0.2214727172331732,0.1825064307713733,0.325835983382562,1.0670943508990287,18946,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,-0.0403967277893927,0.1900357816388941,0.0178686558188047,0.562271846211761,0.756170574003795,0.2682939444098671,0.2706510918646727,0.3138053800664137,1054,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.0036856476386083,0.7150965238009611,0.1180061319276162,9.151819492538576e-32,0.2568764352847824,0.1739751710132376,0.4240137062565079,1.0269364809172357,9811,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.1507723762438525,1.1685610892095014e-10,0.1857806378275981,1.672948522250271e-15,0.5809882989380531,0.4443745746847345,0.0661849121201459,1.0332501006858408,1808,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.142929054667718,1.2263030940964204e-83,0.0809948780042305,7.287505610616395e-28,0.2167215831805024,0.1614511556603144,0.3484439572822208,1.0268142183752749,18192,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,publishable,0.0649723768738402,0.0376381851840208,-0.0234501892280146,0.4535001122050451,0.7511632412109375,0.2526958188027344,0.3023660168557617,0.3114057814902344,1024,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,unpublished,0.0351187942665963,0.0014843445247112,0.0517840396333184,2.767212201881838e-06,-0.0938083344840562,0.1123051598354526,0.3045164349367611,1.0129052856871106,8185,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,published,0.1760774131362821,2.7449467742127013e-08,-0.1264769950863517,6.998275042320605e-05,0.3552351794303153,0.4441862218718209,0.0909755884645167,1.220450726093591,983,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,unpublishable,0.2320857411120318,4.370906175892703e-120,0.1392052060841165,1.2377246914037352e-43,0.4685609993572899,0.2224686373090436,0.3509845261474071,1.0858257703240213,9808,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,unpublished,0.0672844084139348,2.7503769609152537e-11,0.1405932007500246,2.4228712296335213e-44,0.4592727810915814,0.2007277530698752,0.3798408301797883,1.022570153292144,9776,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,published,0.1008727579176936,0.001029019485452,0.0146586264851919,0.634209478250881,0.8285859211600379,0.4530477264867424,0.0366998843527083,0.9204667206439394,1056,1.0,0.025
