params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,st_prop,bhvr_rate
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,all,unpublished,0.5708159930301392,0.0,0.5259888930518763,0.0,0.1065703526547748,0.0560626486874279,0.2431675388248154,0.4198390348961438,0.1378752587991718,0.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,all,unpublishable,0.6424500904272149,0.0,0.4620473187344184,0.0,0.0753249344965708,0.0674010297573164,0.2535689028194866,0.4593299845788443,0.0,0.1005130282165519,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,published,0.2574864671072477,9.030092973506239e-35,0.441844062815377,3.4854587559541657e-106,0.7467066064311594,0.5019766151766304,0.0839069953468335,0.3319013796684782,0.6929347826086957,1.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.5809964179934132,0.0,0.5358578013376174,0.0,0.1055647140505713,0.0520654601032255,0.2525529527091991,0.4202457248787392,0.1326229297727564,0.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,publishable,0.1192056607749846,1.416729323234063e-09,0.2639439684704078,4.1285669609661336e-42,0.7432687682403434,0.4147710776387046,0.0821341180722428,0.2363063513042918,1.0,0.5969566913772922,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.6524040980351583,0.0,0.4743302316738986,0.0,0.07613315735,0.0606462151016981,0.2612176284313426,0.4574225207150389,0.0,0.0912025827280064,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,published,0.2699491760395514,2.7286577806315076e-40,0.4318771349803487,9.074405251548872e-107,0.7234830779109589,0.501156027067637,0.0863890536884897,0.3371488234422517,0.6528253424657534,1.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5607265701467449,0.0,0.516610731486019,0.0,0.107591993334068,0.060123441941941,0.2336327809344457,0.4194258735195383,0.1432111647319681,0.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0538036705439496,0.0058468202810018,0.1823875243429986,4.701805147105622e-21,0.7491706423942052,0.4132794574304231,0.0680859642514045,0.2284721506976744,1.0,0.5813953488372093,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6336334764451724,0.0,0.4503279375548582,0.0,0.0745107978173848,0.0742052698860246,0.2458642109226658,0.4612514054953117,0.0,0.1098915989159891,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.2162567129176842,1.4231567047098963e-31,0.400530167631631,1.5998641539605329e-110,0.760919194327731,0.4989965591281512,0.0756761973490554,0.3133166966162815,0.7244397759103641,1.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5812803230483155,0.0,0.5194724598438399,0.0,0.2082727580148307,0.0899121975598532,0.2501760861754516,0.4186800648193081,0.1968842001962708,0.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.0952536843835505,7.257514529993041e-09,0.2079943220201982,3.4286644566557075e-37,0.7582996796407185,0.4040978562759935,0.0830245180592581,0.2280294645231083,1.0,0.5631464344039194,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.667756607934585,0.0,0.4351523108202694,0.0,0.1479454212349195,0.0918247727597387,0.2659578122145445,0.4731568204643032,0.0,0.1073084265066812,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.3715040958608965,2.2030310986562707e-56,0.4655784130940505,1.4837884769148172e-91,0.6905209940758293,0.5058830999229857,0.1012679238822381,0.3706074717612559,0.5841232227488151,1.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.5582297049741332,0.0,0.5340051811587518,0.0,-0.0069397799431407,0.0182831412383573,0.2353452937532948,0.4211325622874863,0.0720153340635268,0.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,0.0933699794590469,0.0002773543092505,0.3301969452525098,8.667785771194482e-40,0.7169837466931218,0.438118230734127,0.0555999666011097,0.2428276303009259,1.0,0.6521164021164021,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.6159643783746703,0.0,0.4865807072191802,0.0,0.0041219064565909,0.0434540068723211,0.2414218090356157,0.4457730307841978,0.0,0.0938502673796791,0.0,0.0
