params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,no_run,var_iu,number_of_notes
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0,unpublished,0.4991303567460887,0.0,0.4618759751474395,0.0,0.1048679413649664,0.0497933718898845,0.2525632007489666,0.4243706904020536,,,1.0,0.1,7450.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0_inferred,unpublishable,0.57598577671449,0.0,0.4288709673525192,0.0,0.1154077016422801,0.0741470149817653,0.2535511308876971,0.4634032198182642,,,1.0,0.1,7824.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0_inferred,unpublished,0.5091240630387539,0.0,0.4985518163156248,0.0,0.1610280146011376,0.0552420784634312,0.2441331888469097,0.4196122947470652,,,1.0,0.1,8263.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0,published,0.1626729496542451,1.3156156101051352e-16,0.3742228383106,1.0393845273145156e-85,0.6855847075176194,0.5045423202192639,0.0731494833188033,0.329830649310924,,,1.0,0.1,2554.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0_inferred,published,0.0598998853017497,0.0226887151063818,0.3849367848138101,2.585202871032216e-52,0.59924600552868,0.4879159629371112,0.1037380708925114,0.3875136587630269,,,1.0,0.1,1447.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0_inferred,unpublished,0.4873097061590283,0.0,0.4730966058093942,0.0,0.0291980961056149,0.0260007555060814,0.2676300283034992,0.4339078298083481,,,1.0,0.1,6732.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0,unpublishable,0.543746480277476,0.0,0.3897552565774729,2.3170753418345013e-266,0.0784882925306869,0.0776734295723668,0.2596128008031288,0.4618738241034277,,,1.0,0.1,7381.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,all,published,0.1576883186519696,3.1329149311521166e-29,0.3961112710844385,1.0844993759010292e-187,0.6910689230769231,0.5045130529410589,0.0753859459669236,0.3239809409508691,,,1.0,0.1,5005.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,all,unpublished,0.5067855774554408,0.0,0.4871456738567479,0.0,0.1018430188484294,0.0421141967596046,0.2546820866943095,0.4260302702077226,,,1.0,0.1,14995.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0_inferred,published,0.1505628397963298,1.7280756313107488e-19,0.3754851063524859,1.5877067150958258e-119,0.7284123074761102,0.5112629093872963,0.0638554443459777,0.2981428738698707,,,1.0,0.1,3558.0
