params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,st_prop,bhvr_rate,number_of_notes
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,all,unpublished,0.5666785031446291,0.0,0.5193686922993492,0.0,0.1128159836943717,0.0616234573209282,0.2387598664327968,0.4195249016806346,,,0.0,0.0,15600.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,all,unpublishable,0.63866258595298,0.0,0.4563109471045049,0.0,0.0768816032899144,0.0706006457459731,0.2520555772156315,0.458987244822071,,,0.0,0.0,14843.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,published,0.2872254506226149,3.5634145550251813e-45,0.3850710328397203,1.2347010141491305e-82,0.7162162857760483,0.4969345337008214,0.0832952017050864,0.3439357878261564,,,0.0,0.0,2313.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.5734054654721576,0.0,0.535097085518189,0.0,0.1080389454504034,0.0671587494717972,0.2174438270170499,0.4178303904407339,,,0.0,0.0,7684.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,publishable,0.0989422807862034,4.302379058618561e-07,0.1405767891055687,6.004828498199435e-13,0.7380124011538461,0.408261257175,0.0667438501144026,0.2330101329368846,,,0.0,0.0,2600.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.6374559949923794,0.0,0.4678385316869395,0.0,0.0767807601515344,0.0816517694654981,0.2284664266655982,0.4596871504329592,,,0.0,0.0,7397.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,published,0.2357376018785992,9.546968201070248e-28,0.4286632278978237,4.828136233544435e-94,0.7519877398179204,0.4966681063440344,0.1062372642182894,0.3209942716646382,,,0.0,0.0,2087.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5612618921924052,0.0,0.5103287978088044,0.0,0.1174530177856619,0.056250392024405,0.2594511810955809,0.4211697506406391,,,0.0,0.0,7916.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0554378648204992,0.0050457172084232,0.2742346634608055,2.4061187650875724e-45,0.7532069405553383,0.4058964392389519,0.0876957158427845,0.2313073789182635,,,0.0,0.0,2557.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6435090517019197,0.0,0.4523753075145944,0.0,0.0769817828083937,0.0596222463163027,0.2754894943011267,0.4582919450901692,,,0.0,0.0,7446.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.2486699617268029,4.1965043509606816e-45,0.3807743729863693,5.269510243566123e-108,0.7760343994861915,0.5038471683044315,0.0860070576282707,0.2970534289845536,,,0.0,0.0,3114.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5771619307857503,0.0,0.511476283595575,0.0,0.1880160095929417,0.0832962851323566,0.2487466092345302,0.4082116884486106,,,0.0,0.0,8529.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.1222681885943266,2.1670734915618895e-14,0.2030721727735993,2.253144957184757e-37,0.7621523200103145,0.4167790677913873,0.081168742842928,0.2233117988615007,,,0.0,0.0,3878.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.6784092776353977,0.0,0.4384163490403689,0.0,0.137093750008783,0.0854017866193007,0.2671749417734537,0.4559766532712427,,,0.0,0.0,7765.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.1683808072822239,1.2334356866771835e-09,0.3813454592684204,8.873990956707983e-46,0.6294211213063764,0.4797634776749612,0.1139603378794712,0.4202287281089425,,,0.0,0.0,1286.0
