params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,no_run,bhvr_rate,number_of_notes
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.1198800014425746,1.150250461657349e-16,0.138004250606973,1.2658087117924929e-21,0.760495945871946,0.3960003000920388,0.1080930715241027,0.2215416052582982,,,1.0,0.0,4748.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.2473965098982033,1.017058260456172e-12,0.4079541581147519,1.036431368721342e-33,0.5620785985130112,0.4837593604956629,0.1252474718151041,0.4438960292317224,,,1.0,0.0,807.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.6699732958753745,0.0,0.4630943671950209,0.0,0.1599596884416867,0.0949581611812029,0.2593077955746863,0.467286837235963,,,1.0,0.0,7897.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5636060580198918,0.0,0.5370258878223205,0.0,0.239558441913176,0.0987758819143684,0.2434546708995341,0.4021307855880535,,,1.0,0.0,9191.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.2397682246966311,2.3419402213214207e-46,0.4082916626101723,6.646436017685855e-139,0.7736695920671685,0.4986233042877823,0.0936270078205327,0.3028545585057903,,,1.0,0.0,3454.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6362667178249239,0.0,0.5078340456119903,0.0,0.0745096978999865,0.062312780662503,0.2693754155176653,0.4606542087674957,,,1.0,0.0,7439.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0796008137061769,5.457863911464408e-05,0.2421543198969535,1.558479605898743e-35,0.7456684559282372,0.3950418647024181,0.1161331204264391,0.2250733744204368,,,1.0,0.0,2564.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5602593981208847,0.0,0.5559970850347186,0.0,0.1197938942398491,0.0588759066983482,0.2587577436670412,0.4191422207228535,,,1.0,0.0,7955.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.2689022478972562,2.9380481544638016e-35,0.5097373124217927,7.299805194168332e-136,0.7388726245117188,0.4922237688769531,0.1187652275087841,0.3269621216724121,,,1.0,0.0,2048.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,-0.1935461859090146,1.80602205425585e-05,0.4072572893746948,9.219246576160704e-21,0.6053941632231405,0.4246193790826446,0.0638474667833037,0.302514187768595,,,1.0,0.0,484.0
